Cikk neve,Vonalkód,Cikkszám,Rövid név,Vtsz/Szj,Egység,ÁFA,Nettó Alapár(Ft),Bruttó Alapár(Ft),Nettó Alapár(EUR),Bruttó Alapár(EUR),Csoport
"Szűkítő KM10x1x1/4""",,104838,,730792,db,27%,"850,00","1 079,50","0,00","0,00",
"Szűkítő KM10x1/4""",,104840,,730792,db,27%,"850,00","1 079,50","0,00","0,00",
"Szűkítő M14x1,5-G1/4""",,104845,,730792,db,27%,"850,00","1 079,50","0,00","0,00",
Folytó csavar A810,,104862,,741220,db,27%,"0,00","0,00","8,05","10,22",
Permatartó A150,,104864,,731819,db,27%,"1 800,00","2 286,00","5,71","7,25",
Perma Star LC L250 RENOLIT CX-EP2,,106277,,27101999,db,27%,"8 950,00","11 366,50","0,00","0,00",
Perma PRO LC250 SF02,,106641,,27101999,db,27%,"10 800,00","13 716,00","0,00","0,00",
Perma PRO LC250 SF03,,106642,,27101999,db,27%,"23 050,00","29 273,50","0,00","0,00",
Perma PRO LC250 SF04,,106644,,27101999,db,27%,"11 250,00","14 287,50","0,00","0,00",
Perma Pro LC500 SF04,,106757,,27101999,db,27%,"15 800,00","20 066,00","46,40","58,93",
Perma PRO LC500 SF06,,106759,,27101999,db,27%,"14 300,00","18 161,00","42,04","53,39",
Perma PRO C hajtásegység,,106903,,85011099,db,27%,"161 000,00","204 470,00","0,00","0,00",
Perma PRO C MP-6 Adagolóegység,,106922,,84798960,db,27%,"228 800,00","290 576,00","673,94","855,90",
Perma PRO MP-6 Elosztó,,106939,,84248900,db,27%,"52 500,00","66 675,00","0,00","0,00",
Perma PRO B elemkészlet,,106953,,85061011,db,27%,"2 000,00","2 540,00","0,00","0,00",
Perma PRO Fedél 250,,106959,,39174000,db,27%,"1 250,00","1 587,50","3,83","4,86",
Perma PRO Fedél 500,,106960,,39174000,db,27%,"1 250,00","1 587,50","3,83","4,86",
Perma Futura SF01,,106997,,84798997,db,27%,"5 750,00","7 302,50","18,29","23,23",
Perma Futura SF02,,107008,,84798997,db,27%,"6 350,00","8 064,50","19,89","25,26",
Perma Futura SF03,,107012,,84798997,db,27%,"9 900,00","12 573,00","29,73","37,76",
